Index,Identifier,Semester_Year,Completed_ALL_PRE,Duplicates_PRE,PRE_STARTDATE,PRE_ENDDATE,PRE_TIME,PRE_SCHOOL,PRE_INSTR_UA,PRE_INSTR_STANFORD,PRE_INSTR_VASSAR,PRE_INSTR_AUSTINCC,PRE_INSTR_UIUC,PRE_INSTR_PIMA,PRE_PCCCRS,PRE_Q18,PRE_Q18_complete,PRE_Q18CF,PRE_Q31,PRE_Q31_complete,PRE_Q31CF,PRE_Q15,PRE_Q15_complete,PRE_Q15CF,PRE_Q32,PRE_Q32_complete,PRE_Q32CF,PRE_POP_GRAPH,PRE_Q12,PRE_Q12_complete,PRE_Q12CF,PRE_Q13,PRE_Q13_complete,PRE_Q13CF,PRE_Q14,PRE_Q14_complete,PRE_Q14CF,PST_RECIPE,PRE_Q5,PRE_Q5_complete,PRE_Q5CF,PRE_Q6,PRE_Q6_complete,PRE_Q6CF,PRE_Q7,PRE_Q7_complete,PRE_Q7CF,PRE_TABLE,PRE_Q26,PRE_Q26_complete,PRE_Q26CF,PRE_Q27,PRE_Q27_complete,PRE_Q27CF,PRE_Q23,PRE_Q23_complete,PRE_Q23CF,PRE_Q25,PRE_Q25_complete,PRE_Q25CF,PRE_ERRORGRAPH,PRE_Q29,PRE_Q29_complete,PRE_Q29CF,PRE_Q30,PRE_Q30_complete,PRE_Q30CF,PRE_Q10,PRE_Q10_complete,PRE_Q10CF,PRE_Q11,PRE_Q11_complete,PRE_Q11CF,PRE_Q28,PRE_Q28_complete,PRE_Q28CF,PRE_Q19,PRE_Q19_complete,PRE_Q19CF,PRE_POLL_TEXT,PRE_Q20,PRE_Q20_complete,PRE_Q20CF,PRE_Q21,PRE_Q21_complete,PRE_Q21CF,PRE_Q33,PRE_Q33_complete,PRE_Q33CF,PRE_Q34,PRE_Q34_complete,PRE_Q34CF,PRE_Q35,PRE_Q35_complete,PRE_Q35CF,PRE_Q3,PRE_Q3_complete,PRE_Q3CF,PRE_Q16,PRE_Q16_complete,PRE_Q16CF,PRE_DIFF,PRE_FREQEN,PRE_CALC,PRE_DAILYM,PRE_DAILYG,PRE_ATT_1,PRE_ATT_2,PRE_ATT_3,PRE_ATT_4,PRE_LK1,REV_PRE_LK1,PRE_LK2,REV_PRE_LK2,PRE_LK3,REV_PRE_LK3,PRE_LK3_Duplicate,PRE_LK4,REV_PRE_LK4,PRE_LK5,REV_PRE_LK5,PRE_PREVMT,PRE_MOREMT,PRE_MORESC,PRE_WHYCS_1,PRE_WHYCS_2,PRE_WHYCS_3,PRE_WHYCS_4,PRE_WHYCS_5,PRE_WHYCS_6,PRE_WHYCS_7,PRE_WHYCS_7_TEXT,PRE_YEAR,PRE_YEAR_OTHER_TEXT,PRE_MAJOR_HUM,PRE_MAJOR_ARTS,PRE_MAJOR_SOCSCI,PRE_MAJOR_EDU,PRE_MAJOR_SCI,PRE_MAJOR_EMC,PRE_MAJOR_BUS,PRE_MAJOR_HEALTH,PRE_MAJOR_TRADE,PRE_MAJOR_JOUR,PRE_MAJOR_GEN,PRE_MAJOR_UND,PRE_MAJOR_OTHER,PRE_MAJOR_OTHER_TEXT,PRE_WHYMAJ_1,PRE_WHYMAJ_2,PRE_WHYMAJ_3,PRE_WHYMAJ_4,PRE_WHYMAJ_5,PRE_WHYMAJ_6,PRE_WHYMAJ_7,PRE_WHYMAJ_8,PRE_WHYMAJ_8_TEXT,PRE_AGE,PRE_GENDER,PRE_RACE_AA,PRE_RACE_AS,PRE_RACE_CAUC,PRE_RACE_HIS,PRE_RACE_NA,PRE_RACE_OTHER,PRE_RACE_OTHER_TEXT,PRE_RACE_PNTS,PRE_DIS_PHYS,PRE_DIS_PHYS_TEXT,PRE_DIS_COG,PRE_DIS_COG_TEXT,PRE_DIS_LEARN,PRE_DIS_LEARN_TEXT,PRE_DIS_Prefer_Not_Say,PRE_HSUS,PRE_ELEM_WHERE,PRE_MIDDLE_WHERE,PRE_HS_WHERE,PRE_EFFORT,PRE_Q31_scored,PRE_Q15_scored,PRE_Q32_scored,PRE_Q12_scored,PRE_Q13_scored,PRE_Q14_scored,PRE_Q5_scored,PRE_Q6_scored,PRE_Q7_scored,PRE_Q26_scored,PRE_Q27_scored,PRE_Q23_scored,PRE_Q29_scored,PRE_Q30_scored,PRE_Q10_scored,PRE_Q11_scored,PRE_Q28_scored,PRE_Q19_scored,PRE_Q20_scored,PRE_Q21_scored,PRE_Q33_scored,PRE_Q34_scored,PRE_Q35_scored,PRE_Q3_scored,PRE_Q16_scored,PRE_SCORE,PRE_Compete_total_percent,PRE_CF_Total,PRE_CF_Mean,PRE_AGE_NEW,PRE_DIFF_REV,PRE_ATT_1_REV,PRE_ATT_2_REV,PRE_ATT_3_REV,PRE_ATT_4_REV,FAC1_1,FAC2_1,FAC3_1,ZPR_1,ZRE_1,STEM_MAJOR,WHYCS_COMP,MAJOR_COMP,WHYMAJ_COMP,RACE_COMP,DIS_COMP
528,STUDENT 528,1,1,0,2/1/15 15:22,2/1/15 16:35,73,1,2,999,999,999,999,999,999,4,1,1,3,1,4,3,1,4,4,1,4,1,3,1,4,4,1,4,3,1,1,1,2,1,4,3,1,4,3,1,4,1,2,1,4,3,1,4,2,1,4,3,1,1,1,2,1,3,2,1,1,2,1,4,2,1,2,2,1,999,2,1,4,1,3,1,4,4,1,4,3,1,4,4,1,4,3,1,4,3,1,4,2,1,4,2,3,4,2,2,2,2,2,2,1,4,1,4,1,4,1,2,3,999,999,3,2,2,1,1,0,0,0,0,0,999,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,999,2,1,0,1,0,0,0,0,999,0,0,999,0,999,0,999,0,2,China,China,China,5,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,15,1,999,3.625,2,4,3,3,3,3,1.384505873,-0.222216089,-1.062407852,1.094282953,-0.811311691,0,2,1,1,1,0
529,STUDENT 529,1,1,0,1/18/15 13:43,1/18/15 16:03,140,1,6,999,999,999,999,999,999,2,1,1,3,1,2,3,1,4,4,1,4,1,3,1,3,2,1,3,3,1,2,1,4,1,3,3,1,3,4,1,1,1,2,1,4,1,1,2,1,1,2,1,1,2,1,2,1,2,2,1,2,5,1,2,3,1,3,2,1,3,2,1,3,1,2,1,3,1,1,2,3,1,3,4,1,3,1,1,1,2,1,4,2,1,3,3,3,4,2,2,3,1,3,3,2,3,2,3,1,4,1,3,2,999,999,2,2,2,0,1,1,0,1,1,0,999,1,999,0,1,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,1,0,0,0,0,999,2,1,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,5,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,15,1,67,2.68,2,3,2,4,2,2,-0.297013573,0.108692047,-0.188803053,0.60769036,-0.322852229,0,4,1,2,1,0
530,STUDENT 530,1,1,0,1/16/15 12:45,1/16/15 12:56,11,1,6,999,999,999,999,999,999,4,1,1,3,1,3,3,1,4,4,1,4,1,3,1,4,3,1,4,3,1,2,1,2,1,3,3,1,3,5,1,3,1,2,1,4,1,1,4,2,1,3,1,1,2,1,3,1,3,3,1,2,2,1,2,3,1,1,2,1,3,2,1,4,1,2,1,3,4,1,2,2,1,2,4,1,2,3,1,4,2,1,4,2,1,4,2,1,5,2,2,1,2,3,2,1,4,1,4,2,3,2,1,4,999,999,1,3,1,0,1,1,0,1,1,0,999,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,999,1,1,1,1,0,0,0,0,999,2,1,0,0,0,0,0,0,999,1,0,999,0,999,0,999,0,1,999,999,999,4,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,15,1,77,3.08,2,4,4,3,2,3,1.168331678,-0.203521295,1.042234295,0.4298561,-0.144335688,0,4,1,4,1,0
531,STUDENT 531,1,1,0,1/18/15 16:55,1/19/15 1:34,519,1,6,999,999,999,999,999,999,4,1,1,1,1,4,3,1,4,2,1,4,1,4,1,4,2,1,4,5,1,1,1,2,1,4,3,1,4,3,1,1,1,2,1,4,3,1,2,4,1,4,4,1,4,1,1,1,4,2,1,1,2,1,4,1,1,4,2,1,3,2,1,4,1,2,1,4,2,1,3,3,1,3,4,1,3,3,1,3,3,1,4,2,1,3,3,3,5,2,1,2,1,2,3,1,4,1,4,1,4,1,1,4,999,999,2,3,2,0,1,1,0,0,1,0,999,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,999,1,1,1,1,0,0,0,0,999,2,1,0,0,1,0,0,0,999,0,0,999,0,999,1,Reading,0,1,999,999,999,5,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,15,1,83,3.32,2,3,3,4,3,2,1.186052991,-0.01070316,1.119741533,0.907168095,-0.623478945,0,3,1,4,1,1
532,STUDENT 532,1,1,0,2/3/15 14:00,2/3/15 14:11,11,1,7,999,999,999,999,999,999,1,1,1,3,1,4,3,1,4,4,1,4,1,3,1,4,2,1,4,3,1,4,1,3,1,2,3,1,3,3,1,1,1,2,1,4,3,1,4,4,1,4,1,1,1,1,3,1,4,4,1,4,2,1,2,3,1,2,2,1,2,3,1,2,1,4,1,4,1,1,4,2,1,2,2,1,1,4,1,2,2,1,3,3,1,3,1,3,5,3,2,3,1,3,3,1,4,1,4,1,4,1,1,4,999,999,2,3,3,1,1,0,0,1,1,0,999,1,999,0,0,0,0,1,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,999,2,1,0,0,0,1,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,3,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,15,1,77,3.08,2,5,2,4,2,2,1.187040676,0.629251453,-1.061314331,0.077668714,0.209202905,1,4,1,1,1,0
533,STUDENT 533,1,1,0,1/28/15 19:24,1/28/15 23:37,253,1,7,999,999,999,999,999,999,4,1,1,3,1,1,3,1,3,4,1,4,1,3,1,4,1,1,4,3,1,3,1,2,1,4,3,1,4,2,1,1,1,2,1,4,3,1,3,4,1,3,1,1,1,1,1,1,4,2,1,4,4,1,1,4,1,1,2,1,4,3,1,3,1,3,1,3,3,1,3,3,1,3,4,1,4,3,1,4,2,1,4,2,1,4,2,3,3,2,1,3,1,2,2,2,3,2,3,2,3,2,2,3,999,999,2,2,3,0,1,0,0,1,1,0,999,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,999,1,1,1,1,1,1,0,0,999,2,2,0,0,1,0,0,0,999,0,0,999,0,999,0,999,1,1,999,999,999,3,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,15,1,80,3.2,2,4,2,4,3,3,0.119198461,0.054997415,1.260260524,0.109543794,0.177205534,0,3,1,6,1,1
534,STUDENT 534,1,1,0,2/3/15 16:13,2/3/15 17:42,89,1,7,999,999,999,999,999,999,4,1,3,1,1,3,3,1,1,2,1,1,1,3,1,2,3,1,1,3,1,1,1,2,1,2,3,1,3,3,1,1,1,2,1,3,3,1,2,4,1,2,1,1,3,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,3,2,1,2,1,3,1,1,2,1,1,3,1,3,4,1,2,1,1,2,2,1,2,2,1,3,5,3,1,2,1,4,1,4,4,4,1,3,2,2,3,2,2,3,999,999,2,3,3,0,1,1,0,0,1,0,999,1,999,0,0,0,0,0,0,0,0,0,0,0,1,0,999,1,1,1,0,0,0,0,0,999,2,1,0,0,0,0,0,0,999,1,0,999,0,999,0,999,0,1,999,999,999,3,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,15,1,49,1.96,2,1,1,4,1,1,-2.644787044,0.909895083,0.897964845,-1.217485646,1.509326275,0,3,1,3,1,0
535,STUDENT 535,1,1,0,2/2/15 14:15,2/2/15 14:39,24,1,8,999,999,999,999,999,999,4,1,2,4,1,2,3,1,4,3,1,3,1,3,1,4,1,1,2,2,1,2,1,2,1,3,3,1,2,3,1,3,1,2,1,4,3,1,4,4,1,2,1,1,2,1,3,1,3,1,1,3,5,1,3,2,1,2,2,1,4,2,1,4,1,2,1,3,3,1,2,3,1,4,4,1,3,1,1,4,2,1,4,2,1,4,3,4,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,3,999,999,2,2,2,0,1,0,0,0,0,0,999,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,999,0,1,0,1,0,0,0,0,999,2,2,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,4,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,15,1,78,3.12,2,3,3,3,3,3,-0.132933062,0.883177385,-0.013021322,0.327667205,-0.041754733,0,1,1,2,1,0
536,STUDENT 536,1,1,0,2/2/15 22:59,2/2/15 23:18,19,1,8,999,999,999,999,999,999,4,1,1,3,1,3,2,1,4,4,1,4,1,3,1,4,2,1,4,3,1,4,1,2,1,4,3,1,4,5,1,4,1,2,1,4,3,1,4,1,1,4,1,1,1,1,1,1,4,2,1,3,2,1,4,1,1,4,1,1,4,1,1,4,1,3,1,4,4,1,4,3,1,4,4,1,4,3,1,4,2,1,4,2,1,4,1,4,4,3,3,1,1,1,1,1,4,1,4,1,4,1,1,4,999,999,2,3,1,0,1,1,0,0,0,0,999,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,999,1,1,1,1,0,0,0,0,999,2,2,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,3,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,15,1,98,3.92,2,5,4,4,4,4,1.498149211,1.481812362,0.979181134,0.55066286,-0.265605937,0,2,1,4,1,0
537,STUDENT 537,1,1,0,1/17/15 10:45,1/17/15 11:08,23,1,9,999,999,999,999,999,999,4,1,1,3,1,4,3,1,4,4,1,3,1,3,1,4,1,1,4,3,1,3,1,2,1,4,3,1,4,2,1,3,1,2,1,4,3,1,4,4,1,3,1,1,1,1,1,1,4,4,1,4,4,1,3,2,1,3,2,1,4,3,1,1,1,3,1,4,4,1,4,3,1,4,4,1,4,3,1,3,2,1,4,2,1,3,2,4,4,2,2,3,3,3,3,2,3,2,3,1,4,1,1,4,999,999,2,1,3,0,1,1,0,0,0,0,999,1,999,0,0,0,0,0,0,0,0,0,0,0,1,0,999,1,1,1,1,0,0,0,0,999,2,2,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,5,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,15,1,89,3.56,2,4,2,2,2,2,-0.0135725,0.382103923,1.258906084,0.847431956,-0.563513621,0,2,1,4,1,0
538,STUDENT 538,1,1,0,1/20/15 1:08,1/20/15 1:33,25,1,9,999,999,999,999,999,999,4,1,1,3,1,1,3,1,3,2,1,3,1,3,1,3,1,1,3,3,1,1,1,2,1,3,3,1,3,4,1,1,1,2,1,3,2,1,1,3,1,2,1,1,1,1,1,1,2,2,1,3,2,1,4,1,1,3,2,1,2,2,1,4,1,1,1,1,1,1,1,2,1,1,4,1,4,2,1,2,2,1,3,2,1,2,4,1,2,0,1,4,3,4,3,2,3,2,3,2,3,2,3,2,999,999,2,3,2,0,1,0,0,0,0,0,999,1,999,0,0,0,1,0,0,0,0,0,0,0,0,0,999,1,1,0,1,1,0,0,0,999,2,2,0,0,0,1,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,3,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,15,1,59,2.36,2,2,1,2,1,2,-0.389735212,-2.26500155,0.762557926,-0.638871976,0.928492687,0,1,1,4,1,0
539,STUDENT 539,1,1,0,1/22/15 17:28,1/22/15 17:55,27,1,9,999,999,999,999,999,999,4,1,2,3,1,2,3,1,3,4,1,3,1,3,1,3,2,1,3,2,1,2,1,3,1,1,2,1,3,2,1,3,1,4,1,3,4,1,1,1,1,3,2,1,2,1,3,1,3,1,1,3,2,1,1,2,1,1,2,1,3,2,1,3,1,2,1,1,3,1,1,3,1,3,4,1,3,3,1,3,2,1,3,2,1,3,3,1,5,1,1,2,3,2,2,2,3,2,3,1,4,1,2,3,999,999,1,3,3,0,1,1,0,0,0,0,999,1,999,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,1,0,0,0,0,0,0,999,2,1,0,0,0,1,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,3,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,15,1,61,2.44,2,3,3,2,3,3,0.080508413,-1.181078832,-0.120277536,-0.031671774,0.318962891,1,2,1,2,1,0
540,STUDENT 540,1,1,0,1/21/15 19:42,1/21/15 20:04,22,1,9,999,999,999,999,999,999,3,1,2,3,1,4,3,1,4,4,1,4,1,3,1,4,2,1,3,3,1,3,1,2,1,4,3,1,4,2,1,2,1,2,1,4,3,1,4,4,1,2,1,1,1,1,1,1,2,2,1,2,3,1,2,2,1,2,2,1,1,2,1,1,1,2,1,2,3,1,2,2,1,2,2,1,2,3,1,3,2,1,2,2,1,3,3,3,2,3,2,2,1,2,3,2,3,2,3,2,3,2,2,3,999,999,1,3,3,0,1,1,0,0,0,0,999,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,999,0,1,1,0,0,0,0,0,999,2,1,0,0,1,0,0,0,999,0,0,999,1,999,0,999,0,1,999,999,999,3,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,15,1,68,2.72,2,3,3,4,3,2,-0.250750199,1.179089244,-0.074869948,0.025509007,0.26156273,0,2,1,2,1,1
541,STUDENT 541,1,1,0,1/15/15 21:32,1/15/15 22:03,31,1,9,999,999,999,999,999,999,4,1,1,3,1,4,2,1,4,4,1,4,1,3,1,4,3,1,4,3,1,4,1,2,1,4,4,1,4,1,1,3,1,2,1,4,1,1,4,4,1,4,1,1,1,1,1,1,4,2,1,4,2,1,4,1,1,4,1,1,4,2,1,4,1,3,1,4,1,1,4,3,1,4,4,1,4,3,1,3,2,1,4,2,1,4,1,5,3,2,2,2,1,1,2,1,4,1,4,2,3,2,1,4,999,999,1,2,3,0,1,1,0,1,0,0,999,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,999,1,1,1,1,0,0,0,0,999,2,1,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,4,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,15,1,98,3.92,2,5,3,4,4,3,1.609044268,0.697590084,1.03873374,1.371424964,-1.089516989,0,3,1,4,1,0
542,STUDENT 542,1,1,0,1/18/15 18:58,1/18/15 19:21,23,1,9,999,999,999,999,999,999,4,1,1,2,1,1,3,1,4,4,1,4,1,3,1,4,2,1,4,3,1,4,1,2,1,4,3,1,4,4,1,2,1,2,1,4,3,1,3,4,1,4,1,1,1,1,3,1,4,3,1,4,1,1,1,1,1,1,3,1,1,3,1,1,1,3,1,1,1,1,1,4,1,1,1,1,1,4,1,1,2,1,1,2,1,1,1,2,5,3,1,1,1,1,1,1,4,1,4,1,4,1,1,4,999,999,3,3,3,0,1,1,0,0,0,0,999,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,999,0,0,1,1,0,0,1,0,999,2,1,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,3,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,15,1,61,2.44,2,5,4,4,4,4,1.58307965,0.389921119,-1.44446515,0.396728696,-0.111081186,0,2,1,3,1,0
543,STUDENT 543,1,1,0,1/18/15 20:08,1/18/15 21:41,93,1,9,999,999,999,999,999,999,4,1,2,3,1,3,3,1,4,1,1,2,1,3,1,4,2,1,4,3,1,3,1,2,1,3,3,1,4,1,1,3,1,2,1,4,2,1,2,1,1,1,1,1,2,1,1,1,4,1,1,4,2,1,2,1,1,4,4,1,2,2,1,3,1,1,1,3,3,1,2,3,1,3,4,1,4,3,1,1,3,1,1,2,1,4,3,4,5,2,1,2,1,2,3,2,3,2,3,1,4,1,2,3,999,999,2,1,2,0,1,1,0,0,0,0,999,1,999,0,0,0,0,0,0,0,0,0,0,0,1,0,999,1,1,0,0,0,0,1,0,999,2,2,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,5,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,15,1,74,2.96,2,3,3,4,3,2,-0.011055557,0.536737605,-0.961794414,0.603200266,-0.318344908,0,2,1,3,1,0
544,STUDENT 544,1,1,0,1/21/15 15:04,1/21/15 15:58,54,1,9,999,999,999,999,999,999,4,1,2,3,1,3,2,1,3,4,1,2,1,2,1,2,4,1,3,3,1,2,1,1,1,3,3,1,3,4,1,1,1,2,1,3,3,1,2,4,1,2,1,1,2,1,1,1,3,4,1,3,2,1,3,1,1,3,2,1,2,2,1,3,1,3,1,3,4,1,3,4,1,2,4,1,3,3,1,3,2,1,2,2,1,3,3,1,3,0,1,2,2,2,3,2,3,3,2,2,3,2,2,3,999,999,1,1,2,1,1,1,0,0,0,0,999,1,999,0,0,0,1,0,0,0,0,0,0,0,0,0,999,0,1,0,0,0,0,0,0,999,2,2,0,0,1,1,1,0,999,0,0,999,0,999,0,999,0,1,999,999,999,5,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,15,1,65,2.6,2,3,3,3,3,2,-0.309294109,-1.124417508,-0.659743617,0.130466586,0.156202469,0,3,1,1,3,0
545,STUDENT 545,1,1,0,1/21/15 11:11,1/21/15 11:48,37,1,9,999,999,999,999,999,999,4,1,1,2,1,1,3,1,3,1,1,2,1,3,1,3,2,1,2,1,1,2,1,2,1,3,3,1,1,4,1,2,1,2,1,4,1,1,2,3,1,2,1,1,2,1,3,1,4,4,1,2,2,1,2,3,1,3,4,1,3,2,1,3,1,1,1,1,1,1,1,3,1,3,4,1,3,3,1,3,1,1,2,2,1,4,2,4,5,3,2,3,1,3,3,2,3,2,3,2,3,2,2,3,999,999,2,3,3,0,1,0,0,0,0,0,999,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,0,0,0,0,999,2,1,0,0,1,0,0,0,999,0,0,999,1,999,0,999,0,1,999,999,999,5,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,15,1,61,2.44,2,4,2,4,2,2,-0.350849838,1.1439723,-0.063176831,0.650179337,-0.36550422,0,1,1,2,1,1
546,STUDENT 546,3,1,0,1/24/16 18:34,1/24/16 20:46,132,1,10,999,999,999,999,999,999,999,0,999,3,1,3,3,1,3,4,1,3,1,3,1,2,1,1,3,3,1,3,1,2,1,4,3,1,3,3,1,1,1,2,1,3,3,1,3,4,1,2,999,0,999,1,1,1,4,4,1,3,2,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,4,1,1,3,1,4,4,1,3,2,1,2,3,1,3,2,1,3,3,3,4,1,1,2,1,3,3,2,3,2,3,1,4,999,2,3,2,3,1,3,2,0,1,0,0,0,0,0,999,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,999,0,1,0,0,0,0,0,0,999,2,2,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,3,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,15,1,63,2.52,2,3,3,4,2,2,-0.142394749,-0.165358633,-0.636395141,-0.534569371,0.823789913,0,1,1,1,1,0
547,STUDENT 547,1,1,0,1/25/15 18:07,1/25/15 18:52,45,1,12,999,999,999,999,999,999,1,1,1,5,1,4,3,1,4,4,1,4,1,3,1,4,2,1,3,3,1,4,1,3,1,3,3,1,4,1,1,2,1,2,1,4,3,1,4,4,1,1,1,1,1,1,1,1,3,3,1,3,4,1,3,1,1,4,2,1,4,2,1,4,1,2,1,3,2,1,3,3,1,4,4,1,4,1,1,4,2,1,4,2,1,4,3,3,2,2,2,1,1,2,1,2,3,2,3,1,4,1,1,4,999,999,1,3,2,0,1,1,0,0,0,0,999,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,999,1,1,1,0,0,0,0,0,999,2,1,0,1,0,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,5,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,15,1,88,3.52,2,3,4,4,3,4,0.03334422,1.112086868,0.506340859,0.852194681,-0.568294619,0,2,1,3,1,0
548,STUDENT 548,1,1,0,1/29/15 22:01,1/29/15 22:17,16,1,13,999,999,999,999,999,999,4,1,2,3,1,4,3,1,4,2,1,3,1,3,1,4,1,1,4,3,1,2,1,2,1,4,3,1,1,5,1,2,1,2,1,1,3,1,1,3,1,1,2,1,3,1,2,1,1,4,1,1,2,1,2,2,1,2,2,1,2,2,1,4,1,3,1,2,2,1,2,3,1,1,4,1,4,3,1,2,2,1,4,2,1,3,3,1,5,2,2,3,2,3,2,2,3,3,2,2,3,2,2,3,999,999,1,3,3,1,0,0,0,0,0,0,999,1,999,0,0,0,0,0,0,0,1,0,0,0,0,0,999,1,1,0,0,0,0,0,0,999,2,2,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,5,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,15,1,61,2.44,2,3,2,3,2,3,-0.806734571,0.0204138,-0.022092223,0.005406759,0.281742102,0,1,1,2,1,0
549,STUDENT 549,1,1,0,1/29/15 16:49,1/29/15 17:14,25,1,13,999,999,999,999,999,999,4,1,2,3,1,4,3,1,4,2,1,1,1,3,1,4,1,1,3,3,1,2,1,2,1,4,3,1,4,3,1,1,1,2,1,4,3,1,1,3,1,2,1,1,4,1,1,1,1,4,1,1,2,1,4,1,1,4,2,1,3,3,1,3,1,2,1,1,1,1,3,3,1,4,4,1,4,1,1,3,2,1,4,2,1,2,3,3,5,2,1,3,2,4,3,2,3,2,3,2,3,2,2,3,999,999,1,3,3,0,1,1,0,1,1,0,999,1,999,0,0,0,1,1,0,0,0,0,0,0,0,0,999,1,1,1,1,0,0,0,0,999,2,2,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,5,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,15,1,71,2.84,2,3,2,3,1,2,-0.399280787,-0.151146391,1.339664088,0.497740292,-0.212480325,1,4,2,4,1,0
550,STUDENT 550,3,1,0,1/20/16 13:35,1/20/16 13:47,12,1,15,999,999,999,999,999,999,999,0,999,2,1,1,3,1,4,4,1,4,1,3,1,4,1,1,3,4,1,2,1,2,1,4,3,1,4,3,1,2,1,2,1,4,4,1,3,3,1,2,999,0,999,1,3,1,3,4,1,2,3,1,1,3,1,2,2,1,2,2,1,3,1,3,1,2,1,1,2,3,1,4,4,1,3,3,1,4,3,1,4,2,1,4,3,4,3,1,0,4,2,4,4,3,2,2,3,1,4,999,2,3,3,2,1,3,3,0,1,1,0,1,1,0,999,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,999,1,1,1,0,0,0,0,0,999,2,1,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,3,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,15,1,73,2.92,2,3,1,3,1,1,-0.89211275,-0.564341153,0.80762694,-0.676680515,0.966446283,0,4,1,3,1,0
